Epoch,Train Loss,Hit@20,Hit@40,Hit@60,Hit@80,Hit@100,Recall@20,Recall@40,Recall@60,Recall@80,Recall@100,Ndcg@20,Ndcg@40,Ndcg@60,Ndcg@80,Ndcg@100
1,0.6520683169364929,0.009578672382611023,0.017918145890548597,0.02555429030745529,0.03355884520061624,0.04045816866501441,0.0009130370643935185,0.0019129081495024944,0.0027994191700137184,0.0037699082841427135,0.004664144686679654,0.00365678057055759,0.0053448564761287305,0.006698118705230446,0.00800055236898742,0.009066277443739498
2,0.5615769028663635,0.034831535936767355,0.057338066849755516,0.07492129412552752,0.09069596088150579,0.10633666019157346,0.003909519475501084,0.006927595727228723,0.009501176617469706,0.012170610554389666,0.014689297116630844,0.013876783037840429,0.018393668458493342,0.021395901973813018,0.023928098007649966,0.026321903353310295
3,0.41002851724624634,0.06447183334449728,0.09772925179181459,0.12375242815995713,0.14424944738428563,0.16354075959541836,0.00794482246204544,0.01347594480137948,0.018600678833689186,0.023104938586178077,0.027480488904185887,0.025952555062534997,0.032516992665600326,0.037042565623622695,0.0403709589111606,0.043298052384037375
4,0.307584673166275,0.09066246902002811,0.13627838435260234,0.17057405050572708,0.198238328086275,0.221950566012459,0.013581801808875879,0.022839345393238064,0.030776739797219756,0.038021782249497454,0.04456904986438907,0.0373717139666852,0.04631844799289429,0.052154915355814006,0.056650374999936894,0.060172163331825027
5,0.2759917974472046,0.12180990019425277,0.17315292383950698,0.21052984124857663,0.24053854913256076,0.2670641034228683,0.02217149412703727,0.033906331148224035,0.043567415828525455,0.05225449453982599,0.06042242334303586,0.060357524846986206,0.06982494106745557,0.07584669912849609,0.08016214050781548,0.08385825047037332
6,0.2617054879665375,0.1316899993301628,0.18705204635273626,0.23173018956393596,0.2672315627302566,0.2959675798780897,0.023561406266126506,0.0372672776083288,0.04936077406541551,0.06019784599311863,0.06984560431650876,0.06055838990230635,0.07080929913037518,0.07802748229452186,0.08345810546283262,0.08750903916209685
7,0.25284644961357117,0.14937370219036772,0.20952508540424675,0.25708352870252527,0.29275236117623415,0.32235916672248643,0.02883758979237493,0.04451591927217333,0.05809369641301826,0.06910987939799368,0.07893347552617308,0.06986912907138476,0.08090993986082151,0.08859633852491935,0.09395197534736147,0.0981356953195421
8,0.2463090419769287,0.16022506530912986,0.22550070332909106,0.2743318373635206,0.3124455757250988,0.34325808828454685,0.031233771188189072,0.04857736098595522,0.06257195491174336,0.07483021414768949,0.08604324431065212,0.07311166271473002,0.0854627615599907,0.09351649838624347,0.0992416905266792,0.1036588865947809
9,0.24007168412208557,0.17167928193448995,0.23698841181592875,0.28508272489784986,0.3251724830866099,0.3573246701051645,0.03488179212299736,0.05240977053673977,0.06747042001721677,0.081063544822289,0.09342119982693903,0.07888496807690132,0.09107037668802247,0.09883077348992811,0.10487338916453597,0.10935219469711276
10,0.23581495881080627,0.1743251389912251,0.24234710965235448,0.2915801460245161,0.3308660995378123,0.3636546319244424,0.03579021753656245,0.05432953736204802,0.0699569989449413,0.08365575487903373,0.09565869039999442,0.08035841552164374,0.09318486085256168,0.10122094274312661,0.10721898061647901,0.11195388810972282
